SYSTEM," ""1"""," ""SYSTEM"""," ""System Start"""," """"",
main," ""2"""," ""SYSTEM"""," ""Thread Start"""," ""main (1)""",
main," ""3"""," ""SYSTEM"""," ""Type Load"""," ""class=java.lang.Object""",
main," ""4"""," ""SYSTEM"""," ""Type Load"""," ""class=AdapterPort""",
main," ""5"""," ""AdapterPort.java:11"""," ""Method Call"""," ""caller=SYSTEM"," target=AdapterPort#main:1"""
main," ""6"""," ""AdapterPort.java:9"""," ""Method Entered"""," """"",
main," ""7"""," ""AdapterPort.java:9"""," ""Variable Write"""," ""context=AdapterPort#main:1"," args=java.lang.String[0] (id=21)"""
main," ""8"""," ""AdapterPort.java:11"""," ""Line Step"""," ""file=AdapterPort.java"," line=11"""
main," ""9"""," ""SYSTEM"""," ""Type Load"""," ""class=HdmiPort""",
main," ""10"""," ""AdapterPort.java:11"""," ""New Object"""," ""object=HdmiPort:1""",
main," ""11"""," ""AdapterPort.java:11"""," ""Method Call"""," ""caller=AdapterPort#main:1"," target=HdmiPort:1#HdmiPort:1"""
main," ""12"""," ""AdapterPort.java:82"""," ""Method Entered"""," """"",
main," ""13"""," ""AdapterPort.java:82"""," ""Variable Write"""," ""context=HdmiPort:1#HdmiPort:1"," soundData=""""MySound"""""""
main," ""14"""," ""AdapterPort.java:82"""," ""Variable Write"""," ""context=HdmiPort:1#HdmiPort:1"," visualData=""""MyFace"""""""
main," ""15"""," ""AdapterPort.java:82"""," ""Line Step"""," ""file=AdapterPort.java"," line=82"""
main," ""16"""," ""AdapterPort.java:83"""," ""Line Step"""," ""file=AdapterPort.java"," line=83"""
main," ""17"""," ""AdapterPort.java:83"""," ""Field Write"""," ""context=HdmiPort:1"," soundData=""""MySound"""""""
main," ""18"""," ""AdapterPort.java:84"""," ""Line Step"""," ""file=AdapterPort.java"," line=84"""
main," ""19"""," ""AdapterPort.java:84"""," ""Field Write"""," ""context=HdmiPort:1"," visualData=""""MyFace"""""""
main," ""20"""," ""AdapterPort.java:85"""," ""Line Step"""," ""file=AdapterPort.java"," line=85"""
main," ""21"""," ""AdapterPort.java:85"""," ""Method Exit"""," ""returner=HdmiPort:1#HdmiPort:1"," value=<void>"""
main," ""22"""," ""AdapterPort.java:11"""," ""Method Returned"""," """"",
main," ""23"""," ""AdapterPort.java:11"""," ""Line Step"""," ""file=AdapterPort.java"," line=11"""
main," ""24"""," ""AdapterPort.java:11"""," ""Variable Write"""," ""context=AdapterPort#main:1"," myHDMIPort=HdmiPort:1"""
main," ""25"""," ""AdapterPort.java:12"""," ""Line Step"""," ""file=AdapterPort.java"," line=12"""
main," ""26"""," ""SYSTEM"""," ""Type Load"""," ""class=VGA_Port""",
main," ""27"""," ""AdapterPort.java:12"""," ""New Object"""," ""object=VGA_Port:1""",
main," ""28"""," ""AdapterPort.java:12"""," ""Method Call"""," ""caller=AdapterPort#main:1"," target=VGA_Port:1#VGA_Port:1"""
main," ""29"""," ""AdapterPort.java:143"""," ""Method Entered"""," """"",
main," ""30"""," ""AdapterPort.java:143"""," ""Line Step"""," ""file=AdapterPort.java"," line=143"""
main," ""31"""," ""AdapterPort.java:144"""," ""Line Step"""," ""file=AdapterPort.java"," line=144"""
main," ""32"""," ""AdapterPort.java:144"""," ""Method Exit"""," ""returner=VGA_Port:1#VGA_Port:1"," value=<void>"""
main," ""33"""," ""AdapterPort.java:12"""," ""Method Returned"""," """"",
main," ""34"""," ""AdapterPort.java:12"""," ""Line Step"""," ""file=AdapterPort.java"," line=12"""
main," ""35"""," ""AdapterPort.java:12"""," ""Variable Write"""," ""context=AdapterPort#main:1"," myVGAPort=VGA_Port:1"""
main," ""36"""," ""AdapterPort.java:15"""," ""Line Step"""," ""file=AdapterPort.java"," line=15"""
main," ""37"""," ""SYSTEM"""," ""Type Load"""," ""class=HDMI_To_VGA_Adapter""",
main," ""38"""," ""AdapterPort.java:15"""," ""New Object"""," ""object=HDMI_To_VGA_Adapter:1""",
main," ""39"""," ""AdapterPort.java:15"""," ""Method Call"""," ""caller=AdapterPort#main:1"," target=HDMI_To_VGA_Adapter:1#HDMI_To_VGA_Adapter:1"""
main," ""40"""," ""AdapterPort.java:31"""," ""Method Entered"""," """"",
main," ""41"""," ""AdapterPort.java:31"""," ""Variable Write"""," ""context=HDMI_To_VGA_Adapter:1#HDMI_To_VGA_Adapter:1"," vgaPort=VGA_Port:1"""
main," ""42"""," ""AdapterPort.java:31"""," ""Line Step"""," ""file=AdapterPort.java"," line=31"""
main," ""43"""," ""AdapterPort.java:32"""," ""Line Step"""," ""file=AdapterPort.java"," line=32"""
main," ""44"""," ""AdapterPort.java:32"""," ""Method Call"""," ""caller=HDMI_To_VGA_Adapter:1#HDMI_To_VGA_Adapter:1"," target=HDMI_To_VGA_Adapter:1#setVgaPort:1"""
main," ""45"""," ""AdapterPort.java:67"""," ""Method Entered"""," """"",
main," ""46"""," ""AdapterPort.java:67"""," ""Variable Write"""," ""context=HDMI_To_VGA_Adapter:1#setVgaPort:1"," vgaPort=VGA_Port:1"""
main," ""47"""," ""AdapterPort.java:68"""," ""Line Step"""," ""file=AdapterPort.java"," line=68"""
main," ""48"""," ""AdapterPort.java:68"""," ""Field Write"""," ""context=HDMI_To_VGA_Adapter:1"," vgaPort=VGA_Port:1"""
main," ""49"""," ""AdapterPort.java:69"""," ""Line Step"""," ""file=AdapterPort.java"," line=69"""
main," ""50"""," ""AdapterPort.java:69"""," ""Method Exit"""," ""returner=HDMI_To_VGA_Adapter:1#setVgaPort:1"," value=<void>"""
main," ""51"""," ""AdapterPort.java:32"""," ""Method Returned"""," """"",
main," ""52"""," ""AdapterPort.java:33"""," ""Line Step"""," ""file=AdapterPort.java"," line=33"""
main," ""53"""," ""AdapterPort.java:33"""," ""Method Exit"""," ""returner=HDMI_To_VGA_Adapter:1#HDMI_To_VGA_Adapter:1"," value=<void>"""
main," ""54"""," ""AdapterPort.java:15"""," ""Method Returned"""," """"",
main," ""55"""," ""AdapterPort.java:15"""," ""Line Step"""," ""file=AdapterPort.java"," line=15"""
main," ""56"""," ""AdapterPort.java:15"""," ""Variable Write"""," ""context=AdapterPort#main:1"," hdmiToVGA=HDMI_To_VGA_Adapter:1"""
main," ""57"""," ""AdapterPort.java:17"""," ""Line Step"""," ""file=AdapterPort.java"," line=17"""
main," ""58"""," ""AdapterPort.java:17"""," ""Method Call"""," ""caller=AdapterPort#main:1"," target=HDMI_To_VGA_Adapter:1#adapt:1"""
main," ""59"""," ""AdapterPort.java:50"""," ""Method Entered"""," """"",
main," ""60"""," ""AdapterPort.java:50"""," ""Variable Write"""," ""context=HDMI_To_VGA_Adapter:1#adapt:1"," hdmi=HdmiPort:1"""
main," ""61"""," ""AdapterPort.java:51"""," ""Line Step"""," ""file=AdapterPort.java"," line=51"""
main," ""62"""," ""AdapterPort.java:51"""," ""Field Read"""," ""context=HDMI_To_VGA_Adapter:1"," vgaPort"""
main," ""63"""," ""AdapterPort.java:51"""," ""Method Call"""," ""caller=HDMI_To_VGA_Adapter:1#adapt:1"," target=HdmiPort:1#getVisualData:1"""
main," ""64"""," ""AdapterPort.java:114"""," ""Method Entered"""," """"",
main," ""65"""," ""AdapterPort.java:115"""," ""Line Step"""," ""file=AdapterPort.java"," line=115"""
main," ""66"""," ""AdapterPort.java:115"""," ""Field Read"""," ""context=HdmiPort:1"," visualData"""
main," ""67"""," ""AdapterPort.java:115"""," ""Variable Write"""," ""context=HdmiPort:1#getVisualData:1"," result=""""MyFace"""""""
main," ""68"""," ""AdapterPort.java:115"""," ""Method Exit"""," ""returner=HdmiPort:1#getVisualData:1"," value=""""MyFace"""""""
main," ""69"""," ""AdapterPort.java:51"""," ""Method Returned"""," """"",
main," ""70"""," ""AdapterPort.java:51"""," ""Line Step"""," ""file=AdapterPort.java"," line=51"""
main," ""71"""," ""AdapterPort.java:51"""," ""Method Call"""," ""caller=HDMI_To_VGA_Adapter:1#adapt:1"," target=VGA_Port:1#setVisualData:1"""
main," ""72"""," ""AdapterPort.java:162"""," ""Method Entered"""," """"",
main," ""73"""," ""AdapterPort.java:162"""," ""Variable Write"""," ""context=VGA_Port:1#setVisualData:1"," visualData=""""MyFace"""""""
main," ""74"""," ""AdapterPort.java:163"""," ""Line Step"""," ""file=AdapterPort.java"," line=163"""
main," ""75"""," ""AdapterPort.java:163"""," ""Field Write"""," ""context=VGA_Port:1"," visualData=""""MyFace"""""""
main," ""76"""," ""AdapterPort.java:164"""," ""Line Step"""," ""file=AdapterPort.java"," line=164"""
main," ""77"""," ""AdapterPort.java:164"""," ""Method Exit"""," ""returner=VGA_Port:1#setVisualData:1"," value=<void>"""
main," ""78"""," ""AdapterPort.java:51"""," ""Method Returned"""," """"",
main," ""79"""," ""AdapterPort.java:52"""," ""Line Step"""," ""file=AdapterPort.java"," line=52"""
main," ""80"""," ""AdapterPort.java:52"""," ""Method Call"""," ""caller=HDMI_To_VGA_Adapter:1#adapt:1"," target=HDMI_To_VGA_Adapter:1#display:1"""
main," ""81"""," ""AdapterPort.java:36"""," ""Method Entered"""," """"",
main," ""82"""," ""AdapterPort.java:37"""," ""Line Step"""," ""file=AdapterPort.java"," line=37"""
main," ""83"""," ""AdapterPort.java:37"""," ""Field Read"""," ""context=HDMI_To_VGA_Adapter:1"," vgaPort"""
main," ""84"""," ""AdapterPort.java:37"""," ""Method Call"""," ""caller=HDMI_To_VGA_Adapter:1#display:1"," target=VGA_Port:1#display:1"""
main," ""85"""," ""AdapterPort.java:147"""," ""Method Entered"""," """"",
main," ""86"""," ""AdapterPort.java:148"""," ""Line Step"""," ""file=AdapterPort.java"," line=148"""
main," ""87"""," ""AdapterPort.java:148"""," ""Field Read"""," ""context=VGA_Port:1"," visualData"""
main," ""88"""," ""AdapterPort.java:149"""," ""Line Step"""," ""file=AdapterPort.java"," line=149"""
main," ""89"""," ""AdapterPort.java:149"""," ""Method Exit"""," ""returner=VGA_Port:1#display:1"," value=<void>"""
main," ""90"""," ""AdapterPort.java:37"""," ""Method Returned"""," """"",
main," ""91"""," ""AdapterPort.java:38"""," ""Line Step"""," ""file=AdapterPort.java"," line=38"""
main," ""92"""," ""AdapterPort.java:38"""," ""Method Exit"""," ""returner=HDMI_To_VGA_Adapter:1#display:1"," value=<void>"""
main," ""93"""," ""AdapterPort.java:52"""," ""Method Returned"""," """"",
main," ""94"""," ""AdapterPort.java:53"""," ""Line Step"""," ""file=AdapterPort.java"," line=53"""
main," ""95"""," ""AdapterPort.java:53"""," ""Method Call"""," ""caller=HDMI_To_VGA_Adapter:1#adapt:1"," target=HDMI_To_VGA_Adapter:1#makeSound:1"""
main," ""96"""," ""AdapterPort.java:41"""," ""Method Entered"""," """"",
main," ""97"""," ""AdapterPort.java:42"""," ""Line Step"""," ""file=AdapterPort.java"," line=42"""
main," ""98"""," ""AdapterPort.java:43"""," ""Line Step"""," ""file=AdapterPort.java"," line=43"""
main," ""99"""," ""AdapterPort.java:43"""," ""Method Exit"""," ""returner=HDMI_To_VGA_Adapter:1#makeSound:1"," value=<void>"""
main," ""100"""," ""AdapterPort.java:53"""," ""Method Returned"""," """"",
main," ""101"""," ""AdapterPort.java:54"""," ""Line Step"""," ""file=AdapterPort.java"," line=54"""
main," ""102"""," ""AdapterPort.java:54"""," ""Method Exit"""," ""returner=HDMI_To_VGA_Adapter:1#adapt:1"," value=<void>"""
main," ""103"""," ""AdapterPort.java:17"""," ""Method Returned"""," """"",
main," ""104"""," ""AdapterPort.java:18"""," ""Line Step"""," ""file=AdapterPort.java"," line=18"""
main," ""105"""," ""AdapterPort.java:18"""," ""Method Exit"""," ""returner=AdapterPort#main:1"," value=<void>"""
main," ""106"""," ""AdapterPort.java:11"""," ""Method Returned"""," """"",
main," ""107"""," ""SYSTEM"""," ""Thread End"""," """"",
SYSTEM," ""108"""," ""SYSTEM"""," ""System End"""," """"",
